sample,fastq_1,fastq_2,antibody,control
M1_HNF1A,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_7_Senatorov_7/7_Senatorov_7_S27_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_7_Senatorov_7/7_Senatorov_7_S27_R2_001.fastq.gz,HNF1A,M1_TE input
H1_HNF1A,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_8_Senatorov_8/8_Senatorov_8_S31_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_8_Senatorov_8/8_Senatorov_8_S31_R2_001.fastq.gz,HNF1A,H1_TE input
170.2_HNF1A,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_9_Senatorov_9/9_Senatorov_9_S2_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_9_Senatorov_9/9_Senatorov_9_S2_R2_001.fastq.gz,HNF1A,170.2_TE input
170.3T_HNF1A,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_10_Senatorov_10/10_Senatorov_10_S7_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_10_Senatorov_10/10_Senatorov_10_S7_R2_001.fastq.gz,HNF1A,170.3T_TE input
M1r2_HNF1A,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_23_Senatorov_23/23_Senatorov_23_S29_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_23_Senatorov_23/23_Senatorov_23_S29_R2_001.fastq.gz,HNF1A,M1r2_TE input
H1r2_HNF1A,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_24_Senatorov_24/24_Senatorov_24_S33_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_24_Senatorov_24/24_Senatorov_24_S33_R2_001.fastq.gz,HNF1A,H1r2_TE input
170.2r2_HNF1A,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_25_Senatorov_25/25_Senatorov_25_S4_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_25_Senatorov_25/25_Senatorov_25_S4_R2_001.fastq.gz,HNF1A,170.2r2_TE input
M2r2_HNF1A,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_26_Senatorov_26/26_Senatorov_26_S9_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_26_Senatorov_26/26_Senatorov_26_S9_R2_001.fastq.gz,HNF1A,M2r2_TE input
H2r2_HNF1A,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_27_Senatorov_27/27_Senatorov_27_S14_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_27_Senatorov_27/27_Senatorov_27_S14_R2_001.fastq.gz,HNF1A,H2r2_TE input
170.3r2_HNF1A,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_28_Senatorov_28/28_Senatorov_28_S18_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_28_Senatorov_28/28_Senatorov_28_S18_R2_001.fastq.gz,HNF1A,170.3r2_TE input
