Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,chip_antibody,chip_antibody_vendor,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,TISSUE
SRR11856198,ChIP-Seq,65,1686228440,PRJNA540151,SAMN15032369,761010872,GEO,AR,Millipore,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8406315,GSM4569829,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:35:00Z,1,GSM4569829,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856199,ChIP-Seq,65,1823239925,PRJNA540151,SAMN15032398,954175721,GEO,AR,Millipore,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8406316,GSM4569830,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:35:00Z,1,GSM4569830,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856200,ChIP-Seq,65,1480266125,PRJNA540151,SAMN15032397,770979982,GEO,AR,Millipore,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8406413,GSM4569831,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569831,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856201,ChIP-Seq,65,1599969475,PRJNA540151,SAMN15032396,685033696,GEO,AR,Millipore,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8406414,GSM4569832,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569832,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856202,ChIP-Seq,65,1798924595,PRJNA540151,SAMN15032394,869676953,GEO,AR,Millipore,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8406415,GSM4569833,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:35:00Z,1,GSM4569833,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856203,ChIP-Seq,65,1231447165,PRJNA540151,SAMN15032564,526046946,GEO,AR,Millipore,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8406416,GSM4569834,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:33:00Z,1,GSM4569834,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856204,ChIP-Seq,70,9998149642,PRJNA540151,SAMN15032563,4936580641,GEO,AR,Santa Cruz Biotechnology,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX8406417,GSM4569835,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T15:34:00Z,1,GSM4569835,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856205,ChIP-Seq,76,3838059584,PRJNA540151,SAMN15032560,1464962219,GEO,AR,Santa Cruz Biotechnology,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8406418,GSM4569836,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:16:00Z,1,GSM4569836,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856206,ChIP-Seq,76,4763746044,PRJNA540151,SAMN15032559,2092014526,GEO,AR,Santa Cruz Biotechnology,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX8406419,GSM4569837,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:41:00Z,1,GSM4569837,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856207,ChIP-Seq,76,4562596312,PRJNA540151,SAMN15032557,2146575342,GEO,AR,Santa Cruz Biotechnology,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX8406420,GSM4569838,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:21:00Z,1,GSM4569838,Patient localized prostate tissue,SRP194063,localized prostate tissue
